,Entry,Organism,EC numbers,Interpro_ids,Org
3,P9WKJ0,Mycobacterium tuberculosis (strain CDC 1551 / Oshkosh),3.1.3.11,"['InterPro:IPR000760', 'InterPro:IPR020583']",Mycobacterium tuberculosis
3,P9WKJ0,Mycobacterium tuberculosis (strain CDC 1551 / Oshkosh),3.1.3.25,"['InterPro:IPR000760', 'InterPro:IPR020583']",Mycobacterium tuberculosis
4,P65164,Mycobacterium bovis (strain ATCC BAA-935 / AF2122/97),3.1.3.7,"['InterPro:IPR000760', 'InterPro:IPR020583']",Mycobacterium bovis
4,P65164,Mycobacterium bovis (strain ATCC BAA-935 / AF2122/97),3.1.3.11,"['InterPro:IPR000760', 'InterPro:IPR020583']",Mycobacterium bovis
4,P65164,Mycobacterium bovis (strain ATCC BAA-935 / AF2122/97),3.1.3.25,"['InterPro:IPR000760', 'InterPro:IPR020583']",Mycobacterium bovis
5,A5WLC4,Mycobacterium tuberculosis (strain F11),3.1.3.11,['InterPro:IPR004464'],Mycobacterium tuberculosis
6,P9WN20,Mycobacterium tuberculosis (strain CDC 1551 / Oshkosh),3.1.3.11,['InterPro:IPR004464'],Mycobacterium tuberculosis
7,A5U1E6,Mycobacterium tuberculosis (strain ATCC 25177 / H37Ra),3.1.3.11,['InterPro:IPR004464'],Mycobacterium tuberculosis
8,C6DV63,Mycobacterium tuberculosis (strain KZN 1435 / MDR),3.1.3.11,['InterPro:IPR004464'],Mycobacterium tuberculosis
9,A1KHN9,Mycobacterium bovis (strain BCG / Pasteur 1173P2),3.1.3.11,['InterPro:IPR004464'],Mycobacterium bovis
10,C1AM93,Mycobacterium bovis (strain BCG / Tokyo 172 / ATCC 35737 / TMC 1019),3.1.3.11,['InterPro:IPR004464'],Mycobacterium bovis
11,Q7U0N5,Mycobacterium bovis (strain ATCC BAA-935 / AF2122/97),3.1.3.11,['InterPro:IPR004464'],Mycobacterium bovis
0,Q27651,Entamoeba histolytica (strain ATCC 30459 / HM-1:IMSS / ABRM),2.7.1.11,"['InterPro:IPR000023', 'InterPro:IPR012004', 'InterPro:IPR022953', 'InterPro:IPR035966']",Entamoeba histolytica
0,Q9KWU4,Bacillus subtilis (strain 168),6.4.1.1,"['InterPro:IPR000089', 'InterPro:IPR000891', 'InterPro:IPR003379', 'InterPro:IPR005479', 'InterPro:IPR005481', 'InterPro:IPR005482', 'InterPro:IPR005930', 'InterPro:IPR011053', 'InterPro:IPR011054', 'InterPro:IPR011761', 'InterPro:IPR011764', 'InterPro:IPR013785', 'InterPro:IPR016185']",Bacillus subtilis
0,Q834X4,Enterococcus faecalis (strain ATCC 700802 / V583),3.1.3.11,"['InterPro:IPR009164', 'InterPro:IPR029052']",Enterococcus faecalis
0,Q88VY1,Lactiplantibacillus plantarum (strain ATCC BAA-793 / NCIMB 8826 / WCFS1) (Lactobacillus plantarum),2.7.1.11,"['InterPro:IPR000023', 'InterPro:IPR012003', 'InterPro:IPR012828', 'InterPro:IPR015912', 'InterPro:IPR022953', 'InterPro:IPR035966']",Lactiplantibacillus plantarum
0,A4QD83,Corynebacterium glutamicum (strain R),2.7.7.27,"['InterPro:IPR005835', 'InterPro:IPR005836', 'InterPro:IPR011004', 'InterPro:IPR011831', 'InterPro:IPR023049', 'InterPro:IPR029044']",Corynebacterium glutamicum
1,Q8NRD4,Corynebacterium glutamicum (strain ATCC 13032 / DSM 20300 / BCRC 11384 / JCM 1318 / LMG 3730 / NCIMB 10025),2.7.7.27,"['InterPro:IPR005835', 'InterPro:IPR005836', 'InterPro:IPR011004', 'InterPro:IPR011831', 'InterPro:IPR023049', 'InterPro:IPR029044']",Corynebacterium glutamicum
0,P9WID3,Mycobacterium tuberculosis (strain ATCC 25618 / H37Rv),2.7.1.11,"['InterPro:IPR002173', 'InterPro:IPR011611', 'InterPro:IPR017583', 'InterPro:IPR029056']",Mycobacterium tuberculosis
0,P9WID3,Mycobacterium tuberculosis (strain ATCC 25618 / H37Rv),2.7.1.144,"['InterPro:IPR002173', 'InterPro:IPR011611', 'InterPro:IPR017583', 'InterPro:IPR029056']",Mycobacterium tuberculosis
1,P9WID7,Mycobacterium tuberculosis (strain ATCC 25618 / H37Rv),2.7.1.11,"['InterPro:IPR000023', 'InterPro:IPR012003', 'InterPro:IPR012829', 'InterPro:IPR015912', 'InterPro:IPR022953', 'InterPro:IPR035966']",Mycobacterium tuberculosis
1,P9WID7,Mycobacterium tuberculosis (strain ATCC 25618 / H37Rv),2.7.1.144,"['InterPro:IPR000023', 'InterPro:IPR012003', 'InterPro:IPR012829', 'InterPro:IPR015912', 'InterPro:IPR022953', 'InterPro:IPR035966']",Mycobacterium tuberculosis
2,P9WID6,Mycobacterium tuberculosis (strain CDC 1551 / Oshkosh),2.7.1.11,"['InterPro:IPR000023', 'InterPro:IPR012003', 'InterPro:IPR012829', 'InterPro:IPR015912', 'InterPro:IPR022953', 'InterPro:IPR035966']",Mycobacterium tuberculosis
2,P9WID6,Mycobacterium tuberculosis (strain CDC 1551 / Oshkosh),2.7.1.144,"['InterPro:IPR000023', 'InterPro:IPR012003', 'InterPro:IPR012829', 'InterPro:IPR015912', 'InterPro:IPR022953', 'InterPro:IPR035966']",Mycobacterium tuberculosis
3,P9WID2,Mycobacterium tuberculosis (strain CDC 1551 / Oshkosh),2.7.1.11,"['InterPro:IPR002173', 'InterPro:IPR011611', 'InterPro:IPR017583', 'InterPro:IPR029056']",Mycobacterium tuberculosis
3,P9WID2,Mycobacterium tuberculosis (strain CDC 1551 / Oshkosh),2.7.1.144,"['InterPro:IPR002173', 'InterPro:IPR011611', 'InterPro:IPR017583', 'InterPro:IPR029056']",Mycobacterium tuberculosis
4,P65691,Mycobacterium bovis (strain ATCC BAA-935 / AF2122/97),2.7.1.11,"['InterPro:IPR000023', 'InterPro:IPR012003', 'InterPro:IPR012829', 'InterPro:IPR015912', 'InterPro:IPR022953', 'InterPro:IPR035966']",Mycobacterium bovis
0,P31040,Homo sapiens (Human),1.3.5.1,"['InterPro:IPR003952', 'InterPro:IPR003953', 'InterPro:IPR011281', 'InterPro:IPR014006', 'InterPro:IPR015939', 'InterPro:IPR027477', 'InterPro:IPR030664', 'InterPro:IPR036188', 'InterPro:IPR037099']",Homo sapiens
1,P21912,Homo sapiens (Human),1.3.5.1,"['InterPro:IPR001041', 'InterPro:IPR004489', 'InterPro:IPR006058', 'InterPro:IPR009051', 'InterPro:IPR012675', 'InterPro:IPR017896', 'InterPro:IPR017900', 'InterPro:IPR025192', 'InterPro:IPR036010']",Homo sapiens
0,Q9X049,Thermotoga maritima (strain ATCC 43589 / DSM 3109 / JCM 10099 / NBRC 100826 / MSB8),2.7.1.30,"['InterPro:IPR000577', 'InterPro:IPR005999', 'InterPro:IPR018483', 'InterPro:IPR018484', 'InterPro:IPR018485', 'InterPro:IPR043129']",Thermotoga maritima
1,Q9X1E4,Thermotoga maritima (strain ATCC 43589 / DSM 3109 / JCM 10099 / NBRC 100826 / MSB8),2.7.1.30,"['InterPro:IPR000577', 'InterPro:IPR005999', 'InterPro:IPR018483', 'InterPro:IPR018484', 'InterPro:IPR018485', 'InterPro:IPR043129']",Thermotoga maritima
0,Q94AA4,Arabidopsis thaliana (Mouse-ear cress),2.7.1.11,"['InterPro:IPR000023', 'InterPro:IPR012004', 'InterPro:IPR022953', 'InterPro:IPR035966']",Arabidopsis thaliana
1,Q9FKG3,Arabidopsis thaliana (Mouse-ear cress),2.7.1.11,"['InterPro:IPR000023', 'InterPro:IPR012004', 'InterPro:IPR022953', 'InterPro:IPR035966']",Arabidopsis thaliana
2,Q9C5J7,Arabidopsis thaliana (Mouse-ear cress),2.7.1.11,"['InterPro:IPR000023', 'InterPro:IPR012004', 'InterPro:IPR022953', 'InterPro:IPR035966']",Arabidopsis thaliana
3,Q8VYN6,Arabidopsis thaliana (Mouse-ear cress),2.7.1.11,"['InterPro:IPR000023', 'InterPro:IPR012004', 'InterPro:IPR022953', 'InterPro:IPR035966']",Arabidopsis thaliana
4,Q9M076,Arabidopsis thaliana (Mouse-ear cress),2.7.1.11,"['InterPro:IPR000023', 'InterPro:IPR012004', 'InterPro:IPR022953', 'InterPro:IPR035966']",Arabidopsis thaliana
5,Q9FIK0,Arabidopsis thaliana (Mouse-ear cress),2.7.1.11,"['InterPro:IPR000023', 'InterPro:IPR012004', 'InterPro:IPR022953', 'InterPro:IPR035966']",Arabidopsis thaliana
6,Q9M0F9,Arabidopsis thaliana (Mouse-ear cress),2.7.1.11,"['InterPro:IPR000023', 'InterPro:IPR012004', 'InterPro:IPR022953', 'InterPro:IPR035966']",Arabidopsis thaliana
0,P25851,Arabidopsis thaliana (Mouse-ear cress),3.1.3.11,"['InterPro:IPR000146', 'InterPro:IPR020548', 'InterPro:IPR028343', 'InterPro:IPR033391', 'InterPro:IPR044015']",Arabidopsis thaliana
1,Q9MA79,Arabidopsis thaliana (Mouse-ear cress),3.1.3.11,"['InterPro:IPR000146', 'InterPro:IPR020548', 'InterPro:IPR028343', 'InterPro:IPR033391', 'InterPro:IPR044015']",Arabidopsis thaliana
0,A5IVU3,Staphylococcus aureus (strain JH9),3.1.3.11,"['InterPro:IPR009164', 'InterPro:IPR029052']",Staphylococcus aureus
1,A6U4P6,Staphylococcus aureus (strain JH1),3.1.3.11,"['InterPro:IPR009164', 'InterPro:IPR029052']",Staphylococcus aureus
2,Q2FDY9,Staphylococcus aureus (strain USA300),3.1.3.11,"['InterPro:IPR009164', 'InterPro:IPR029052']",Staphylococcus aureus
3,A6QK04,Staphylococcus aureus (strain Newman),3.1.3.11,"['InterPro:IPR009164', 'InterPro:IPR029052']",Staphylococcus aureus
4,Q5HD37,Staphylococcus aureus (strain COL),3.1.3.11,"['InterPro:IPR009164', 'InterPro:IPR029052']",Staphylococcus aureus
5,Q6G6F9,Staphylococcus aureus (strain MSSA476),3.1.3.11,"['InterPro:IPR009164', 'InterPro:IPR029052']",Staphylococcus aureus
6,Q7A3I5,Staphylococcus aureus (strain N315),3.1.3.11,"['InterPro:IPR009164', 'InterPro:IPR029052']",Staphylococcus aureus
7,Q6GDS9,Staphylococcus aureus (strain MRSA252),3.1.3.11,"['InterPro:IPR009164', 'InterPro:IPR029052']",Staphylococcus aureus
8,Q8NUT7,Staphylococcus aureus (strain MW2),3.1.3.11,"['InterPro:IPR009164', 'InterPro:IPR029052']",Staphylococcus aureus
9,A8Z3B1,Staphylococcus aureus (strain USA300 / TCH1516),3.1.3.11,"['InterPro:IPR009164', 'InterPro:IPR029052']",Staphylococcus aureus
10,A7X6K5,Staphylococcus aureus (strain Mu3 / ATCC 700698),3.1.3.11,"['InterPro:IPR009164', 'InterPro:IPR029052']",Staphylococcus aureus
11,Q99RB9,Staphylococcus aureus (strain Mu50 / ATCC 700699),3.1.3.11,"['InterPro:IPR009164', 'InterPro:IPR029052']",Staphylococcus aureus
12,Q2FVB2,Staphylococcus aureus (strain NCTC 8325 / PS 47),3.1.3.11,"['InterPro:IPR009164', 'InterPro:IPR029052']",Staphylococcus aureus
13,Q2YW94,Staphylococcus aureus (strain bovine RF122 / ET3-1),3.1.3.11,"['InterPro:IPR009164', 'InterPro:IPR029052']",Staphylococcus aureus
14,Q5HLB1,Staphylococcus epidermidis (strain ATCC 35984 / RP62A),3.1.3.11,"['InterPro:IPR009164', 'InterPro:IPR029052']",Staphylococcus epidermidis
0,P40811,Salmonella typhimurium (strain LT2 / SGSC1412 / ATCC 700720),2.2.1.6,"['InterPro:IPR000399', 'InterPro:IPR011766', 'InterPro:IPR012000', 'InterPro:IPR012001', 'InterPro:IPR012846', 'InterPro:IPR029035', 'InterPro:IPR029061', 'InterPro:IPR039368', 'InterPro:IPR045229']",Salmonella typhimurium
1,P21622,Salmonella typhimurium (strain LT2 / SGSC1412 / ATCC 700720),2.2.1.6,"['InterPro:IPR002912', 'InterPro:IPR004789', 'InterPro:IPR019455', 'InterPro:IPR027271', 'InterPro:IPR039557', 'InterPro:IPR045865']",Salmonella typhimurium
0,P09467,Homo sapiens (Human),3.1.3.11,"['InterPro:IPR000146', 'InterPro:IPR020548', 'InterPro:IPR028343', 'InterPro:IPR033391', 'InterPro:IPR044015']",Homo sapiens
1,O00757,Homo sapiens (Human),3.1.3.11,"['InterPro:IPR000146', 'InterPro:IPR020548', 'InterPro:IPR028343', 'InterPro:IPR033391', 'InterPro:IPR044015']",Homo sapiens
0,Q9YHT1,Gallus gallus (Chicken),1.3.5.1,"['InterPro:IPR003952', 'InterPro:IPR003953', 'InterPro:IPR011281', 'InterPro:IPR014006', 'InterPro:IPR015939', 'InterPro:IPR027477', 'InterPro:IPR030664', 'InterPro:IPR036188', 'InterPro:IPR037099']",Gallus gallus
1,Q9YHT2,Gallus gallus (Chicken),1.3.5.1,"['InterPro:IPR001041', 'InterPro:IPR004489', 'InterPro:IPR006058', 'InterPro:IPR009051', 'InterPro:IPR012675', 'InterPro:IPR017896', 'InterPro:IPR017900', 'InterPro:IPR025192', 'InterPro:IPR036010']",Gallus gallus
0,A2PYL6,Equus caballus (Horse),2.7.1.1,"['InterPro:IPR001312', 'InterPro:IPR019807', 'InterPro:IPR022672', 'InterPro:IPR022673', 'InterPro:IPR043129']",Equus caballus
0,P31040,Homo sapiens (Human),1.3.5.1,"['InterPro:IPR003952', 'InterPro:IPR003953', 'InterPro:IPR011281', 'InterPro:IPR014006', 'InterPro:IPR015939', 'InterPro:IPR027477', 'InterPro:IPR030664', 'InterPro:IPR036188', 'InterPro:IPR037099']",Homo sapiens
1,P21912,Homo sapiens (Human),1.3.5.1,"['InterPro:IPR001041', 'InterPro:IPR004489', 'InterPro:IPR006058', 'InterPro:IPR009051', 'InterPro:IPR012675', 'InterPro:IPR017896', 'InterPro:IPR017900', 'InterPro:IPR025192', 'InterPro:IPR036010']",Homo sapiens
2,P21913,Rattus norvegicus (Rat),1.3.5.1,"['InterPro:IPR001041', 'InterPro:IPR004489', 'InterPro:IPR006058', 'InterPro:IPR009051', 'InterPro:IPR012675', 'InterPro:IPR017896', 'InterPro:IPR017900', 'InterPro:IPR025192', 'InterPro:IPR036010']",Rattus norvegicus
3,Q920L2,Rattus norvegicus (Rat),1.3.5.1,"['InterPro:IPR003952', 'InterPro:IPR003953', 'InterPro:IPR011281', 'InterPro:IPR014006', 'InterPro:IPR015939', 'InterPro:IPR027477', 'InterPro:IPR030664', 'InterPro:IPR036188', 'InterPro:IPR037099']",Rattus norvegicus
4,Q9CQA3,Mus musculus (Mouse),1.3.5.1,"['InterPro:IPR001041', 'InterPro:IPR004489', 'InterPro:IPR006058', 'InterPro:IPR009051', 'InterPro:IPR012675', 'InterPro:IPR017896', 'InterPro:IPR017900', 'InterPro:IPR025192', 'InterPro:IPR036010']",Mus musculus
5,Q8K2B3,Mus musculus (Mouse),1.3.5.1,"['InterPro:IPR003952', 'InterPro:IPR003953', 'InterPro:IPR011281', 'InterPro:IPR014006', 'InterPro:IPR015939', 'InterPro:IPR027477', 'InterPro:IPR030664', 'InterPro:IPR036188', 'InterPro:IPR037099']",Mus musculus
6,Q0QF01,Sus scrofa (Pig),1.3.5.1,"['InterPro:IPR003952', 'InterPro:IPR003953', 'InterPro:IPR011281', 'InterPro:IPR014006', 'InterPro:IPR015939', 'InterPro:IPR027477', 'InterPro:IPR030664', 'InterPro:IPR036188', 'InterPro:IPR037099']",Sus scrofa
7,Q007T0,Sus scrofa (Pig),1.3.5.1,"['InterPro:IPR001041', 'InterPro:IPR004489', 'InterPro:IPR006058', 'InterPro:IPR009051', 'InterPro:IPR012675', 'InterPro:IPR017896', 'InterPro:IPR017900', 'InterPro:IPR025192', 'InterPro:IPR036010']",Sus scrofa
8,Q3T189,Bos taurus (Bovine),1.3.5.1,"['InterPro:IPR001041', 'InterPro:IPR004489', 'InterPro:IPR006058', 'InterPro:IPR009051', 'InterPro:IPR012675', 'InterPro:IPR017896', 'InterPro:IPR017900', 'InterPro:IPR025192', 'InterPro:IPR036010']",Bos taurus
9,P31039,Bos taurus (Bovine),1.3.5.1,"['InterPro:IPR003952', 'InterPro:IPR003953', 'InterPro:IPR011281', 'InterPro:IPR014006', 'InterPro:IPR015939', 'InterPro:IPR027477', 'InterPro:IPR030664', 'InterPro:IPR036188', 'InterPro:IPR037099']",Bos taurus
10,Q5R616,Pongo abelii (Sumatran orangutan) (Pongo pygmaeus abelii),1.3.5.1,"['InterPro:IPR003952', 'InterPro:IPR003953', 'InterPro:IPR011281', 'InterPro:IPR014006', 'InterPro:IPR015939', 'InterPro:IPR027477', 'InterPro:IPR030664', 'InterPro:IPR036188', 'InterPro:IPR037099']",Pongo abelii
11,Q8HXW3,Macaca fascicularis (Crab-eating macaque) (Cynomolgus monkey),1.3.5.1,"['InterPro:IPR003952', 'InterPro:IPR003953', 'InterPro:IPR011281', 'InterPro:IPR014006', 'InterPro:IPR015939', 'InterPro:IPR027477', 'InterPro:IPR030664', 'InterPro:IPR036188', 'InterPro:IPR037099']",Macaca fascicularis
12,Q0QF17,Mesocricetus auratus (Golden hamster),1.3.5.1,"['InterPro:IPR003952', 'InterPro:IPR003953', 'InterPro:IPR011281', 'InterPro:IPR014006', 'InterPro:IPR015939', 'InterPro:IPR027477', 'InterPro:IPR030664', 'InterPro:IPR036188', 'InterPro:IPR037099']",Mesocricetus auratus
0,Q08D86,Bos taurus (Bovine),2.7.1.30,"['InterPro:IPR000577', 'InterPro:IPR018483', 'InterPro:IPR018484', 'InterPro:IPR018485', 'InterPro:IPR037444', 'InterPro:IPR043129']",Bos taurus
1,Q0IID9,Bos taurus (Bovine),2.7.1.30,"['InterPro:IPR000577', 'InterPro:IPR005999', 'InterPro:IPR018483', 'InterPro:IPR018484', 'InterPro:IPR018485', 'InterPro:IPR042018', 'InterPro:IPR043129']",Bos taurus
0,Q9WU65,Mus musculus (Mouse),2.7.1.30,"['InterPro:IPR000577', 'InterPro:IPR005999', 'InterPro:IPR018483', 'InterPro:IPR018484', 'InterPro:IPR018485', 'InterPro:IPR042018', 'InterPro:IPR043129']",Mus musculus
1,Q64516,Mus musculus (Mouse),2.7.1.30,"['InterPro:IPR000577', 'InterPro:IPR005999', 'InterPro:IPR018483', 'InterPro:IPR018484', 'InterPro:IPR018485', 'InterPro:IPR042018', 'InterPro:IPR043129']",Mus musculus
2,Q8BX05,Mus musculus (Mouse),2.7.1.30,"['InterPro:IPR000577', 'InterPro:IPR018483', 'InterPro:IPR018484', 'InterPro:IPR018485', 'InterPro:IPR037444', 'InterPro:IPR043129']",Mus musculus
0,Q46YH7,Cupriavidus pinatubonensis (strain JMP 134 / LMG 1197) (Cupriavidus necator (strain JMP 134)),3.1.3.11,"['InterPro:IPR000146', 'InterPro:IPR028343', 'InterPro:IPR033391', 'InterPro:IPR044015']",Cupriavidus pinatubonensis
1,P19911,Cupriavidus necator (strain ATCC 17699 / DSM 428 / KCTC 22496 / NCIMB 10442 / H16 / Stanier 337) (Ralstonia eutropha),3.1.3.11,"['InterPro:IPR000146', 'InterPro:IPR020548', 'InterPro:IPR028343', 'InterPro:IPR033391', 'InterPro:IPR044015']",Cupriavidus necator
2,P19912,Cupriavidus necator (strain ATCC 17699 / DSM 428 / KCTC 22496 / NCIMB 10442 / H16 / Stanier 337) (Ralstonia eutropha),3.1.3.11,"['InterPro:IPR000146', 'InterPro:IPR020548', 'InterPro:IPR028343', 'InterPro:IPR033391', 'InterPro:IPR044015']",Cupriavidus necator
3,Q0KCY0,Cupriavidus necator (strain ATCC 17699 / DSM 428 / KCTC 22496 / NCIMB 10442 / H16 / Stanier 337) (Ralstonia eutropha),3.1.3.11,"['InterPro:IPR000146', 'InterPro:IPR028343', 'InterPro:IPR033391', 'InterPro:IPR044015']",Cupriavidus necator
0,Q4J7A3,Sulfolobus acidocaldarius (strain ATCC 33909 / DSM 639 / JCM 8929 / NBRC 15157 / NCIMB 11770),2.7.1.30,"['InterPro:IPR000577', 'InterPro:IPR005999', 'InterPro:IPR018483', 'InterPro:IPR018484', 'InterPro:IPR018485', 'InterPro:IPR043129']",Sulfolobus acidocaldarius
1,Q4J9R1,Sulfolobus acidocaldarius (strain ATCC 33909 / DSM 639 / JCM 8929 / NBRC 15157 / NCIMB 11770),2.7.1.30,"['InterPro:IPR000577', 'InterPro:IPR005999', 'InterPro:IPR018483', 'InterPro:IPR018484', 'InterPro:IPR018485', 'InterPro:IPR043129']",Sulfolobus acidocaldarius
0,Q9S702,Arabidopsis thaliana (Mouse-ear cress),2.7.2.4,"['InterPro:IPR001048', 'InterPro:IPR001341', 'InterPro:IPR002912', 'InterPro:IPR018042', 'InterPro:IPR036393', 'InterPro:IPR042199', 'InterPro:IPR045865']",Arabidopsis thaliana
1,Q9SA18,Arabidopsis thaliana (Mouse-ear cress),2.7.2.4); Homoserine dehydrogenase,"['InterPro:IPR001048', 'InterPro:IPR001341', 'InterPro:IPR001342', 'InterPro:IPR002912', 'InterPro:IPR005106', 'InterPro:IPR011147', 'InterPro:IPR018042', 'InterPro:IPR019811', 'InterPro:IPR027795', 'InterPro:IPR036291', 'InterPro:IPR036393', 'InterPro:IPR041743', 'InterPro:IPR045865']",Arabidopsis thaliana
1,Q9SA18,Arabidopsis thaliana (Mouse-ear cress),1.1.1.3)],"['InterPro:IPR001048', 'InterPro:IPR001341', 'InterPro:IPR001342', 'InterPro:IPR002912', 'InterPro:IPR005106', 'InterPro:IPR011147', 'InterPro:IPR018042', 'InterPro:IPR019811', 'InterPro:IPR027795', 'InterPro:IPR036291', 'InterPro:IPR036393', 'InterPro:IPR041743', 'InterPro:IPR045865']",Arabidopsis thaliana
2,O81852,Arabidopsis thaliana (Mouse-ear cress),2.7.2.4,"['InterPro:IPR001048', 'InterPro:IPR001341', 'InterPro:IPR001342', 'InterPro:IPR002912', 'InterPro:IPR005106', 'InterPro:IPR011147', 'InterPro:IPR018042', 'InterPro:IPR019811', 'InterPro:IPR027795', 'InterPro:IPR036291', 'InterPro:IPR036393', 'InterPro:IPR041743', 'InterPro:IPR045865']",Arabidopsis thaliana
2,O81852,Arabidopsis thaliana (Mouse-ear cress),1.1.1.3)],"['InterPro:IPR001048', 'InterPro:IPR001341', 'InterPro:IPR001342', 'InterPro:IPR002912', 'InterPro:IPR005106', 'InterPro:IPR011147', 'InterPro:IPR018042', 'InterPro:IPR019811', 'InterPro:IPR027795', 'InterPro:IPR036291', 'InterPro:IPR036393', 'InterPro:IPR041743', 'InterPro:IPR045865']",Arabidopsis thaliana
3,O23653,Arabidopsis thaliana (Mouse-ear cress),2.7.2.4,"['InterPro:IPR001048', 'InterPro:IPR001341', 'InterPro:IPR002912', 'InterPro:IPR018042', 'InterPro:IPR036393', 'InterPro:IPR042199', 'InterPro:IPR045865']",Arabidopsis thaliana
4,Q9LYU8,Arabidopsis thaliana (Mouse-ear cress),2.7.2.4,"['InterPro:IPR001048', 'InterPro:IPR001341', 'InterPro:IPR002912', 'InterPro:IPR018042', 'InterPro:IPR036393', 'InterPro:IPR041746', 'InterPro:IPR042199', 'InterPro:IPR045865']",Arabidopsis thaliana
0,P80885,Bacillus subtilis (strain 168),2.7.1.40,"['InterPro:IPR001697', 'InterPro:IPR008279', 'InterPro:IPR011037', 'InterPro:IPR015793', 'InterPro:IPR015795', 'InterPro:IPR015806', 'InterPro:IPR015813', 'InterPro:IPR018209', 'InterPro:IPR036637', 'InterPro:IPR036918', 'InterPro:IPR040442']",Bacillus subtilis
1,P51181,Bacillus licheniformis,2.7.1.40,"['InterPro:IPR001697', 'InterPro:IPR008279', 'InterPro:IPR011037', 'InterPro:IPR015793', 'InterPro:IPR015795', 'InterPro:IPR015806', 'InterPro:IPR015813', 'InterPro:IPR018209', 'InterPro:IPR036637', 'InterPro:IPR036918', 'InterPro:IPR040442']",Bacillus licheniformis
0,Q6Q8A5,Nicotiana tabacum (Common tobacco),2.7.1.1,"['InterPro:IPR001312', 'InterPro:IPR022672', 'InterPro:IPR022673', 'InterPro:IPR043129']",Nicotiana tabacum
1,Q9SEK2,Nicotiana tabacum (Common tobacco),2.7.1.1,"['InterPro:IPR001312', 'InterPro:IPR019807', 'InterPro:IPR022672', 'InterPro:IPR022673', 'InterPro:IPR043129']",Nicotiana tabacum
0,Q59229,Bacillus sp. (strain MGA3),2.7.2.4,"['InterPro:IPR001048', 'InterPro:IPR001341', 'InterPro:IPR002912', 'InterPro:IPR005260', 'InterPro:IPR018042', 'InterPro:IPR027795', 'InterPro:IPR036393', 'InterPro:IPR041740', 'InterPro:IPR045865']",Bacillus sp.
0,Q0QF17,Mesocricetus auratus (Golden hamster),1.3.5.1,"['InterPro:IPR003952', 'InterPro:IPR003953', 'InterPro:IPR011281', 'InterPro:IPR014006', 'InterPro:IPR015939', 'InterPro:IPR027477', 'InterPro:IPR030664', 'InterPro:IPR036188', 'InterPro:IPR037099']",Mesocricetus auratus
0,P47858,Rattus norvegicus (Rat),2.7.1.11,"['InterPro:IPR000023', 'InterPro:IPR009161', 'InterPro:IPR015912', 'InterPro:IPR022953', 'InterPro:IPR035966', 'InterPro:IPR041914']",Rattus norvegicus
1,P30835,Rattus norvegicus (Rat),2.7.1.11,"['InterPro:IPR000023', 'InterPro:IPR009161', 'InterPro:IPR015912', 'InterPro:IPR022953', 'InterPro:IPR035966', 'InterPro:IPR041914']",Rattus norvegicus
2,P47860,Rattus norvegicus (Rat),2.7.1.11,"['InterPro:IPR000023', 'InterPro:IPR009161', 'InterPro:IPR015912', 'InterPro:IPR022953', 'InterPro:IPR035966', 'InterPro:IPR041914']",Rattus norvegicus
0,P90521,Dictyostelium discoideum (Social amoeba),2.7.1.11,"['InterPro:IPR000023', 'InterPro:IPR009161', 'InterPro:IPR015912', 'InterPro:IPR022953', 'InterPro:IPR035966']",Dictyostelium discoideum
0,B9J2G7,Bacillus cereus (strain Q1),2.7.7.27,"['InterPro:IPR005835', 'InterPro:IPR005836', 'InterPro:IPR011004', 'InterPro:IPR011831', 'InterPro:IPR023049', 'InterPro:IPR029044']",Bacillus cereus
1,Q632H2,Bacillus cereus (strain ZK / E33L),2.7.7.27,"['InterPro:IPR005835', 'InterPro:IPR005836', 'InterPro:IPR011004', 'InterPro:IPR011831', 'InterPro:IPR023049', 'InterPro:IPR029044']",Bacillus cereus
2,Q72YJ4,Bacillus cereus (strain ATCC 10987 / NRS 248),2.7.7.27,"['InterPro:IPR005835', 'InterPro:IPR005836', 'InterPro:IPR011004', 'InterPro:IPR011831', 'InterPro:IPR023049', 'InterPro:IPR029044']",Bacillus cereus
3,Q81K83,Bacillus anthracis,2.7.7.27,"['InterPro:IPR005835', 'InterPro:IPR005836', 'InterPro:IPR011004', 'InterPro:IPR011831', 'InterPro:IPR023049', 'InterPro:IPR029044']",Bacillus anthracis
4,A9VM89,Bacillus mycoides (strain KBAB4) (Bacillus weihenstephanensis),2.7.7.27,"['InterPro:IPR005835', 'InterPro:IPR005836', 'InterPro:IPR011004', 'InterPro:IPR011831', 'InterPro:IPR023049', 'InterPro:IPR029044']",Bacillus mycoides
5,Q816G7,Bacillus cereus (strain ATCC 14579 / DSM 31 / CCUG 7414 / JCM 2152 / NBRC 15305 / NCIMB 9373 / NCTC 2599 / NRRL B-3711),2.7.7.27,"['InterPro:IPR005835', 'InterPro:IPR005836', 'InterPro:IPR011004', 'InterPro:IPR011831', 'InterPro:IPR023049', 'InterPro:IPR029044']",Bacillus cereus
6,A0RK86,Bacillus thuringiensis (strain Al Hakam),2.7.7.27,"['InterPro:IPR005835', 'InterPro:IPR005836', 'InterPro:IPR011004', 'InterPro:IPR011831', 'InterPro:IPR023049', 'InterPro:IPR029044']",Bacillus thuringiensis
