	Entry	Organism	EC numbers	Interpro_ids
4	P30855	Escherichia coli (strain K12)	['EC 2.7.13.3']	['InterPro:IPR001638', 'InterPro:IPR001789', 'InterPro:IPR003594', 'InterPro:IPR003661', 'InterPro:IPR004358', 'InterPro:IPR005467', 'InterPro:IPR008207', 'InterPro:IPR011006', 'InterPro:IPR036097', 'InterPro:IPR036641', 'InterPro:IPR036890']
5	P39453	Escherichia coli (strain K12)	['EC 2.7.13.3']	['InterPro:IPR001789', 'InterPro:IPR003594', 'InterPro:IPR003660', 'InterPro:IPR003661', 'InterPro:IPR004358', 'InterPro:IPR005467', 'InterPro:IPR008207', 'InterPro:IPR011006', 'InterPro:IPR014302', 'InterPro:IPR036097', 'InterPro:IPR036641', 'InterPro:IPR036890', 'InterPro:IPR037952', 'InterPro:IPR038188']
6	P52101	Escherichia coli (strain K12)	['EC 2.7.13.3']	['InterPro:IPR003594', 'InterPro:IPR003661', 'InterPro:IPR004358', 'InterPro:IPR005467', 'InterPro:IPR036097', 'InterPro:IPR036890']
7	P76339	Escherichia coli (strain K12)	['EC 2.7.13.3']	['InterPro:IPR003594', 'InterPro:IPR003660', 'InterPro:IPR003661', 'InterPro:IPR004358', 'InterPro:IPR005467', 'InterPro:IPR006290', 'InterPro:IPR036097', 'InterPro:IPR036890']
8	P77510	Escherichia coli (strain K12)	['EC 2.7.13.3']	['InterPro:IPR000014', 'InterPro:IPR003594', 'InterPro:IPR004358', 'InterPro:IPR005467', 'InterPro:IPR013767', 'InterPro:IPR016120', 'InterPro:IPR029151', 'InterPro:IPR033463', 'InterPro:IPR035965', 'InterPro:IPR036890']
9	P09835	Escherichia coli (strain K12)	['EC 2.7.13.3', 'EC 3.1.3.-']	['InterPro:IPR003594', 'InterPro:IPR005467', 'InterPro:IPR007895', 'InterPro:IPR011712', 'InterPro:IPR036890']
0	Q82Z75	Enterococcus faecalis (strain ATCC 700802 / V583)	['EC 2.7.13.3']	['InterPro:IPR003018', 'InterPro:IPR003594', 'InterPro:IPR010559', 'InterPro:IPR011620', 'InterPro:IPR029016', 'InterPro:IPR036890']
1	Q47745	Enterococcus faecalis (strain ATCC 700802 / V583)	['EC 2.7.13.3']	['InterPro:IPR003594', 'InterPro:IPR003660', 'InterPro:IPR003661', 'InterPro:IPR005467', 'InterPro:IPR036097', 'InterPro:IPR036890']
0	P10799	Agrobacterium tumefaciens (strain 15955)	['EC 2.7.13.3']	['InterPro:IPR001789', 'InterPro:IPR003594', 'InterPro:IPR003661', 'InterPro:IPR004358', 'InterPro:IPR005467', 'InterPro:IPR036097', 'InterPro:IPR036890', 'InterPro:IPR045812']
1	P07168	Rhizobium radiobacter (Agrobacterium tumefaciens) (Agrobacterium radiobacter)	['EC 2.7.13.3']	['InterPro:IPR001789', 'InterPro:IPR003594', 'InterPro:IPR003661', 'InterPro:IPR004358', 'InterPro:IPR005467', 'InterPro:IPR036097', 'InterPro:IPR036890', 'InterPro:IPR045812']
2	Q07737	Agrobacterium fabrum (strain C58 / ATCC 33970) (Agrobacterium tumefaciens (strain C58))	['EC 2.7.13.3']	['InterPro:IPR003594', 'InterPro:IPR003660', 'InterPro:IPR003661', 'InterPro:IPR004358', 'InterPro:IPR005467', 'InterPro:IPR025908', 'InterPro:IPR025919', 'InterPro:IPR036097', 'InterPro:IPR036890']
3	P18540	Agrobacterium fabrum (strain C58 / ATCC 33970) (Agrobacterium tumefaciens (strain C58))	['EC 2.7.13.3']	['InterPro:IPR001789', 'InterPro:IPR003594', 'InterPro:IPR003661', 'InterPro:IPR004358', 'InterPro:IPR005467', 'InterPro:IPR036097', 'InterPro:IPR036890', 'InterPro:IPR045812']
4	P07167	Rhizobium radiobacter (Agrobacterium tumefaciens) (Agrobacterium radiobacter)	['EC 2.7.13.3']	['InterPro:IPR001789', 'InterPro:IPR003594', 'InterPro:IPR003661', 'InterPro:IPR004358', 'InterPro:IPR005467', 'InterPro:IPR011006', 'InterPro:IPR036097', 'InterPro:IPR036890', 'InterPro:IPR045812']
0	O06961	Salmonella typhimurium (strain LT2 / SGSC1412 / ATCC 700720)	['EC 2.7.2.15']	['InterPro:IPR000890', 'InterPro:IPR004372', 'InterPro:IPR023865', 'InterPro:IPR024917', 'InterPro:IPR043129']
1	P74879	Salmonella typhimurium (strain LT2 / SGSC1412 / ATCC 700720)	['EC 2.7.2.15']	['InterPro:IPR000890', 'InterPro:IPR004372', 'InterPro:IPR023865', 'InterPro:IPR024896', 'InterPro:IPR043129']
2	Q8Z3K5	Salmonella typhi	['EC 2.7.2.15']	['InterPro:IPR000890', 'InterPro:IPR004372', 'InterPro:IPR023865', 'InterPro:IPR024917', 'InterPro:IPR043129']
3	B5F6P9	Salmonella agona (strain SL483)	['EC 2.7.2.15']	['InterPro:IPR000890', 'InterPro:IPR004372', 'InterPro:IPR023865', 'InterPro:IPR024917', 'InterPro:IPR043129']
4	C0Q1L8	Salmonella paratyphi C (strain RKS4594)	['EC 2.7.2.15']	['InterPro:IPR000890', 'InterPro:IPR004372', 'InterPro:IPR023865', 'InterPro:IPR024896', 'InterPro:IPR043129']
5	C9XHG0	Salmonella typhimurium (strain D23580)	['EC 2.7.2.15']	['InterPro:IPR000890', 'InterPro:IPR004372', 'InterPro:IPR023865', 'InterPro:IPR024917', 'InterPro:IPR043129']
0	P07205	Homo sapiens (Human)	['EC 2.7.2.3']	['InterPro:IPR001576', 'InterPro:IPR015824', 'InterPro:IPR015911', 'InterPro:IPR036043']
1	P00558	Homo sapiens (Human)	['EC 2.7.2.3']	['InterPro:IPR001576', 'InterPro:IPR015824', 'InterPro:IPR015911', 'InterPro:IPR036043']
0	P27362	Plasmodium falciparum (isolate 3D7)	['EC 2.7.2.3']	['InterPro:IPR001576', 'InterPro:IPR015824', 'InterPro:IPR015911', 'InterPro:IPR036043']
0	P00560	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	['EC 2.7.2.3']	['InterPro:IPR001576', 'InterPro:IPR015824', 'InterPro:IPR015911', 'InterPro:IPR036043']
1	Q757Q0	Ashbya gossypii (strain ATCC 10895 / CBS 109.51 / FGSC 9923 / NRRL Y-1056) (Yeast) (Eremothecium gossypii)	['EC 2.7.2.3']	['InterPro:IPR001576', 'InterPro:IPR015824', 'InterPro:IPR015911', 'InterPro:IPR036043']
0	P37142	Daucus carota (Wild carrot)	['EC 2.7.2.4); Homoserine dehydrogenase', 'EC 1.1.1.3)]']	['InterPro:IPR001048', 'InterPro:IPR001341', 'InterPro:IPR001342', 'InterPro:IPR002912', 'InterPro:IPR005106', 'InterPro:IPR011147', 'InterPro:IPR018042', 'InterPro:IPR019811', 'InterPro:IPR027795', 'InterPro:IPR036291', 'InterPro:IPR036393', 'InterPro:IPR041743', 'InterPro:IPR045865']
0	Q9S702	Arabidopsis thaliana (Mouse-ear cress)	['EC 2.7.2.4']	['InterPro:IPR001048', 'InterPro:IPR001341', 'InterPro:IPR002912', 'InterPro:IPR018042', 'InterPro:IPR036393', 'InterPro:IPR042199', 'InterPro:IPR045865']
1	Q9SA18	Arabidopsis thaliana (Mouse-ear cress)	['EC 2.7.2.4); Homoserine dehydrogenase', 'EC 1.1.1.3)]']	['InterPro:IPR001048', 'InterPro:IPR001341', 'InterPro:IPR001342', 'InterPro:IPR002912', 'InterPro:IPR005106', 'InterPro:IPR011147', 'InterPro:IPR018042', 'InterPro:IPR019811', 'InterPro:IPR027795', 'InterPro:IPR036291', 'InterPro:IPR036393', 'InterPro:IPR041743', 'InterPro:IPR045865']
2	O81852	Arabidopsis thaliana (Mouse-ear cress)	['EC 2.7.2.4', 'EC 1.1.1.3)]']	['InterPro:IPR001048', 'InterPro:IPR001341', 'InterPro:IPR001342', 'InterPro:IPR002912', 'InterPro:IPR005106', 'InterPro:IPR011147', 'InterPro:IPR018042', 'InterPro:IPR019811', 'InterPro:IPR027795', 'InterPro:IPR036291', 'InterPro:IPR036393', 'InterPro:IPR041743', 'InterPro:IPR045865']
3	O23653	Arabidopsis thaliana (Mouse-ear cress)	['EC 2.7.2.4']	['InterPro:IPR001048', 'InterPro:IPR001341', 'InterPro:IPR002912', 'InterPro:IPR018042', 'InterPro:IPR036393', 'InterPro:IPR042199', 'InterPro:IPR045865']
4	Q9LYU8	Arabidopsis thaliana (Mouse-ear cress)	['EC 2.7.2.4']	['InterPro:IPR001048', 'InterPro:IPR001341', 'InterPro:IPR002912', 'InterPro:IPR018042', 'InterPro:IPR036393', 'InterPro:IPR041746', 'InterPro:IPR042199', 'InterPro:IPR045865']
0	C3JXY0	Pseudomonas fluorescens (strain SBW25)	['EC 2.7.2.4']	['InterPro:IPR001048', 'InterPro:IPR001341', 'InterPro:IPR002912', 'InterPro:IPR005260', 'InterPro:IPR018042', 'InterPro:IPR027795', 'InterPro:IPR036393', 'InterPro:IPR041740', 'InterPro:IPR045865']
0	P61489	Thermus thermophilus	['EC 2.7.2.4']	['InterPro:IPR001048', 'InterPro:IPR001341', 'InterPro:IPR002912', 'InterPro:IPR005260', 'InterPro:IPR018042', 'InterPro:IPR027795', 'InterPro:IPR036393', 'InterPro:IPR041740', 'InterPro:IPR045865']
1	P61488	Thermus thermophilus (strain ATCC BAA-163 / DSM 7039 / HB27)	['EC 2.7.2.4']	['InterPro:IPR001048', 'InterPro:IPR001341', 'InterPro:IPR002912', 'InterPro:IPR005260', 'InterPro:IPR018042', 'InterPro:IPR027795', 'InterPro:IPR036393', 'InterPro:IPR041740', 'InterPro:IPR045865']
0	Q04795	Bacillus subtilis (strain 168)	['EC 2.7.2.4']	['InterPro:IPR001048', 'InterPro:IPR001341', 'InterPro:IPR002912', 'InterPro:IPR005260', 'InterPro:IPR018042', 'InterPro:IPR027795', 'InterPro:IPR036393', 'InterPro:IPR045865']
1	P08495	Bacillus subtilis (strain 168)	['EC 2.7.2.4']	['InterPro:IPR001048', 'InterPro:IPR001341', 'InterPro:IPR002912', 'InterPro:IPR005260', 'InterPro:IPR018042', 'InterPro:IPR027795', 'InterPro:IPR036393', 'InterPro:IPR041740', 'InterPro:IPR045865']
2	P94417	Bacillus subtilis (strain 168)	['EC 2.7.2.4']	['InterPro:IPR001048', 'InterPro:IPR001341', 'InterPro:IPR002912', 'InterPro:IPR005260', 'InterPro:IPR018042', 'InterPro:IPR027795', 'InterPro:IPR035804', 'InterPro:IPR036393', 'InterPro:IPR042199', 'InterPro:IPR045865']
0	Q9SCL7	Arabidopsis thaliana (Mouse-ear cress)	['EC 2.7.2.8']	['InterPro:IPR001048', 'InterPro:IPR001057', 'InterPro:IPR004662', 'InterPro:IPR036393', 'InterPro:IPR037528', 'InterPro:IPR041727']
0	P09605	Rattus norvegicus (Rat)	['EC 2.7.3.2']	['InterPro:IPR000749', 'InterPro:IPR014746', 'InterPro:IPR022413', 'InterPro:IPR022414', 'InterPro:IPR022415', 'InterPro:IPR036802']
1	P07335	Rattus norvegicus (Rat)	['EC 2.7.3.2']	['InterPro:IPR000749', 'InterPro:IPR014746', 'InterPro:IPR022413', 'InterPro:IPR022414', 'InterPro:IPR022415', 'InterPro:IPR036802']
2	P25809	Rattus norvegicus (Rat)	['EC 2.7.3.2']	['InterPro:IPR000749', 'InterPro:IPR014746', 'InterPro:IPR022413', 'InterPro:IPR022414', 'InterPro:IPR022415', 'InterPro:IPR036802']
3	P00564	Rattus norvegicus (Rat)	['EC 2.7.3.2']	['InterPro:IPR000749', 'InterPro:IPR014746', 'InterPro:IPR022413', 'InterPro:IPR022414', 'InterPro:IPR022415', 'InterPro:IPR036802']
0	P08839	Escherichia coli (strain K12)	['EC 2.7.3.9']	['InterPro:IPR000121', 'InterPro:IPR006318', 'InterPro:IPR008279', 'InterPro:IPR008731', 'InterPro:IPR015813', 'InterPro:IPR018274', 'InterPro:IPR023151', 'InterPro:IPR024692', 'InterPro:IPR036618', 'InterPro:IPR036637', 'InterPro:IPR040442']
1	P37177	Escherichia coli (strain K12)	['EC 2.7.3.9']	['InterPro:IPR000121', 'InterPro:IPR003018', 'InterPro:IPR006318', 'InterPro:IPR008279', 'InterPro:IPR008731', 'InterPro:IPR015813', 'InterPro:IPR018274', 'InterPro:IPR023151', 'InterPro:IPR029016', 'InterPro:IPR036618', 'InterPro:IPR036637', 'InterPro:IPR040442']
2	P32670	Escherichia coli (strain K12)	['EC 2.7.3.9', 'EC 2.7.1.202']	['InterPro:IPR000032', 'InterPro:IPR000121', 'InterPro:IPR001020', 'InterPro:IPR002178', 'InterPro:IPR006318', 'InterPro:IPR008279', 'InterPro:IPR008731', 'InterPro:IPR015813', 'InterPro:IPR016152', 'InterPro:IPR018274', 'InterPro:IPR023151', 'InterPro:IPR035895', 'InterPro:IPR036618', 'InterPro:IPR036637', 'InterPro:IPR040442']
3	P77439	Escherichia coli (strain K12)	['EC 2.7.3.9', 'EC 2.7.1.202']	['InterPro:IPR000032', 'InterPro:IPR000121', 'InterPro:IPR002178', 'InterPro:IPR004715', 'InterPro:IPR006318', 'InterPro:IPR008279', 'InterPro:IPR008731', 'InterPro:IPR015813', 'InterPro:IPR016152', 'InterPro:IPR023151', 'InterPro:IPR035895', 'InterPro:IPR036618', 'InterPro:IPR036637', 'InterPro:IPR040442']
4	Q8XBQ8	Escherichia coli O157:H7	['EC 2.7.3.9', 'EC 2.7.1.202']	['InterPro:IPR000032', 'InterPro:IPR000121', 'InterPro:IPR002178', 'InterPro:IPR004715', 'InterPro:IPR006318', 'InterPro:IPR008279', 'InterPro:IPR008731', 'InterPro:IPR015813', 'InterPro:IPR016152', 'InterPro:IPR023151', 'InterPro:IPR035895', 'InterPro:IPR036618', 'InterPro:IPR036637', 'InterPro:IPR040442']
5	Q8FFD8	Escherichia coli O6:H1 (strain CFT073 / ATCC 700928 / UPEC)	['EC 2.7.3.9', 'EC 2.7.1.202']	['InterPro:IPR000032', 'InterPro:IPR000121', 'InterPro:IPR002178', 'InterPro:IPR004715', 'InterPro:IPR006318', 'InterPro:IPR008279', 'InterPro:IPR008731', 'InterPro:IPR015813', 'InterPro:IPR016152', 'InterPro:IPR023151', 'InterPro:IPR035895', 'InterPro:IPR036618', 'InterPro:IPR036637', 'InterPro:IPR040442']
6	Q83QP3	Shigella flexneri	['EC 2.7.3.9', 'EC 2.7.1.202']	['InterPro:IPR000032', 'InterPro:IPR000121', 'InterPro:IPR002178', 'InterPro:IPR004715', 'InterPro:IPR006318', 'InterPro:IPR008279', 'InterPro:IPR008731', 'InterPro:IPR015813', 'InterPro:IPR016152', 'InterPro:IPR023151', 'InterPro:IPR035895', 'InterPro:IPR036618', 'InterPro:IPR036637', 'InterPro:IPR040442']
7	P30299	Streptococcus salivarius	['EC 2.7.3.9']	['InterPro:IPR000121', 'InterPro:IPR006318', 'InterPro:IPR008279', 'InterPro:IPR008731', 'InterPro:IPR015813', 'InterPro:IPR018274', 'InterPro:IPR023151', 'InterPro:IPR024692', 'InterPro:IPR036618', 'InterPro:IPR036637', 'InterPro:IPR040442']
8	P23536	Cupriavidus necator (strain ATCC 17699 / DSM 428 / KCTC 22496 / NCIMB 10442 / H16 / Stanier 337) (Ralstonia eutropha)	['EC 2.7.3.9']	['InterPro:IPR000121', 'InterPro:IPR006318', 'InterPro:IPR008279', 'InterPro:IPR008731', 'InterPro:IPR015813', 'InterPro:IPR018274', 'InterPro:IPR023151', 'InterPro:IPR024692', 'InterPro:IPR036618', 'InterPro:IPR036637', 'InterPro:IPR040442']
9	P0A249	Salmonella typhimurium (strain LT2 / SGSC1412 / ATCC 700720)	['EC 2.7.3.9']	['InterPro:IPR000121', 'InterPro:IPR006318', 'InterPro:IPR008279', 'InterPro:IPR008731', 'InterPro:IPR015813', 'InterPro:IPR018274', 'InterPro:IPR023151', 'InterPro:IPR024692', 'InterPro:IPR036618', 'InterPro:IPR036637', 'InterPro:IPR040442']
0	P30085	Homo sapiens (Human)	['EC 2.7.4.14', 'EC 2.7.4.6']	['InterPro:IPR000850', 'InterPro:IPR006266', 'InterPro:IPR027417', 'InterPro:IPR033690']
1	Q5EBM0	Homo sapiens (Human)	['EC 2.7.4.14', 'EC 2.7.4.6']	['InterPro:IPR014505', 'InterPro:IPR027417', 'InterPro:IPR039430']
0	Q4KM73	Rattus norvegicus (Rat)	['EC 2.7.4.14', 'EC 2.7.4.6']	['InterPro:IPR000850', 'InterPro:IPR006266', 'InterPro:IPR027417', 'InterPro:IPR033690']
0	P0A7E9	Escherichia coli (strain K12)	['EC 2.7.4.22']	['InterPro:IPR001048', 'InterPro:IPR011817', 'InterPro:IPR015963', 'InterPro:IPR036393']
1	P0A7F1	Escherichia coli O157:H7	['EC 2.7.4.22']	['InterPro:IPR001048', 'InterPro:IPR011817', 'InterPro:IPR015963', 'InterPro:IPR036393']
2	Q1RG18	Escherichia coli (strain UTI89 / UPEC)	['EC 2.7.4.22']	['InterPro:IPR001048', 'InterPro:IPR011817', 'InterPro:IPR015963', 'InterPro:IPR036393']
3	A1A7L5	Escherichia coli O1:K1 / APEC	['EC 2.7.4.22']	['InterPro:IPR001048', 'InterPro:IPR011817', 'InterPro:IPR015963', 'InterPro:IPR036393']
4	A7ZWB7	Escherichia coli O9:H4 (strain HS)	['EC 2.7.4.22']	['InterPro:IPR001048', 'InterPro:IPR011817', 'InterPro:IPR015963', 'InterPro:IPR036393']
5	A7ZHR1	Escherichia coli O139:H28 (strain E24377A / ETEC)	['EC 2.7.4.22']	['InterPro:IPR001048', 'InterPro:IPR011817', 'InterPro:IPR015963', 'InterPro:IPR036393']
6	Q0TLG2	Escherichia coli O6:K15:H31 (strain 536 / UPEC)	['EC 2.7.4.22']	['InterPro:IPR001048', 'InterPro:IPR011817', 'InterPro:IPR015963', 'InterPro:IPR036393']
7	P0A7F0	Escherichia coli O6:H1 (strain CFT073 / ATCC 700928 / UPEC)	['EC 2.7.4.22']	['InterPro:IPR001048', 'InterPro:IPR011817', 'InterPro:IPR015963', 'InterPro:IPR036393']
8	P43891	Thermus thermophilus (strain ATCC 27634 / DSM 579 / HB8)	['EC 2.7.4.22']	['InterPro:IPR001048', 'InterPro:IPR011817', 'InterPro:IPR015963', 'InterPro:IPR036393']
9	P0A7F2	Shigella flexneri	['EC 2.7.4.22']	['InterPro:IPR001048', 'InterPro:IPR011817', 'InterPro:IPR015963', 'InterPro:IPR036393']
0	O31749	Bacillus subtilis (strain 168)	['EC 2.7.4.22']	['InterPro:IPR001048', 'InterPro:IPR011817', 'InterPro:IPR015963', 'InterPro:IPR036393']
1	A7Z4S2	Bacillus velezensis (strain DSM 23117 / BGSC 10A6 / LMG 26770 / FZB42) (Bacillus amyloliquefaciens subsp. plantarum)	['EC 2.7.4.22']	['InterPro:IPR001048', 'InterPro:IPR011817', 'InterPro:IPR015963', 'InterPro:IPR036393']
2	Q9KA65	Halalkalibacterium halodurans (strain ATCC BAA-125 / DSM 18197 / FERM 7344 / JCM 9153 / C-125) (Bacillus halodurans)	['EC 2.7.4.22']	['InterPro:IPR001048', 'InterPro:IPR011817', 'InterPro:IPR015963', 'InterPro:IPR036393']
3	Q65JJ7	Bacillus licheniformis (strain ATCC 14580 / DSM 13 / JCM 2505 / CCUG 7422 / NBRC 12200 / NCIMB 9375 / NCTC 10341 / NRRL NRS-1264 / Gibson 46)	['EC 2.7.4.22']	['InterPro:IPR001048', 'InterPro:IPR011817', 'InterPro:IPR015963', 'InterPro:IPR036393']
0	Q97R83	Streptococcus pneumoniae serotype 4 (strain ATCC BAA-334 / TIGR4)	['EC 2.7.4.22']	['InterPro:IPR001048', 'InterPro:IPR011817', 'InterPro:IPR015963', 'InterPro:IPR036393']
1	Q8DQ50	Streptococcus pneumoniae (strain ATCC BAA-255 / R6)	['EC 2.7.4.22']	['InterPro:IPR001048', 'InterPro:IPR011817', 'InterPro:IPR015963', 'InterPro:IPR036393']
2	Q04KY1	Streptococcus pneumoniae serotype 2 (strain D39 / NCTC 7466)	['EC 2.7.4.22']	['InterPro:IPR001048', 'InterPro:IPR011817', 'InterPro:IPR015963', 'InterPro:IPR036393']
0	P9WHK5	Mycobacterium tuberculosis (strain ATCC 25618 / H37Rv)	['EC 2.7.4.22']	['InterPro:IPR001048', 'InterPro:IPR011817', 'InterPro:IPR015963', 'InterPro:IPR036393']
1	A5U6N8	Mycobacterium tuberculosis (strain ATCC 25177 / H37Ra)	['EC 2.7.4.22']	['InterPro:IPR001048', 'InterPro:IPR011817', 'InterPro:IPR015963', 'InterPro:IPR036393']
2	P9WHK4	Mycobacterium tuberculosis (strain CDC 1551 / Oshkosh)	['EC 2.7.4.22']	['InterPro:IPR001048', 'InterPro:IPR011817', 'InterPro:IPR015963', 'InterPro:IPR036393']
3	A1KMM7	Mycobacterium bovis (strain BCG / Pasteur 1173P2)	['EC 2.7.4.22']	['InterPro:IPR001048', 'InterPro:IPR011817', 'InterPro:IPR015963', 'InterPro:IPR036393']
4	P65930	Mycobacterium bovis (strain ATCC BAA-935 / AF2122/97)	['EC 2.7.4.22']	['InterPro:IPR001048', 'InterPro:IPR011817', 'InterPro:IPR015963', 'InterPro:IPR036393']
0	P65933	Salmonella typhimurium (strain LT2 / SGSC1412 / ATCC 700720)	['EC 2.7.4.22']	['InterPro:IPR001048', 'InterPro:IPR011817', 'InterPro:IPR015963', 'InterPro:IPR036393']
1	P65934	Salmonella typhi	['EC 2.7.4.22']	['InterPro:IPR001048', 'InterPro:IPR011817', 'InterPro:IPR015963', 'InterPro:IPR036393']
2	Q57T37	Salmonella choleraesuis (strain SC-B67)	['EC 2.7.4.22']	['InterPro:IPR001048', 'InterPro:IPR011817', 'InterPro:IPR015963', 'InterPro:IPR036393']
3	Q5PD61	Salmonella paratyphi A (strain ATCC 9150 / SARB42)	['EC 2.7.4.22']	['InterPro:IPR001048', 'InterPro:IPR011817', 'InterPro:IPR015963', 'InterPro:IPR036393']
0	Q831V1	Enterococcus faecalis (strain ATCC 700802 / V583)	['EC 2.7.4.22']	['InterPro:IPR001048', 'InterPro:IPR011817', 'InterPro:IPR015963', 'InterPro:IPR036393']
0	Q2FZ22	Staphylococcus aureus (strain NCTC 8325 / PS 47)	['EC 2.7.4.22']	['InterPro:IPR001048', 'InterPro:IPR011817', 'InterPro:IPR015963', 'InterPro:IPR036393']
1	A6QGF8	Staphylococcus aureus (strain Newman)	['EC 2.7.4.22']	['InterPro:IPR001048', 'InterPro:IPR011817', 'InterPro:IPR015963', 'InterPro:IPR036393']
2	P65936	Staphylococcus aureus (strain N315)	['EC 2.7.4.22']	['InterPro:IPR001048', 'InterPro:IPR011817', 'InterPro:IPR015963', 'InterPro:IPR036393']
3	P65937	Staphylococcus aureus (strain MW2)	['EC 2.7.4.22']	['InterPro:IPR001048', 'InterPro:IPR011817', 'InterPro:IPR015963', 'InterPro:IPR036393']
4	Q2FHI0	Staphylococcus aureus (strain USA300)	['EC 2.7.4.22']	['InterPro:IPR001048', 'InterPro:IPR011817', 'InterPro:IPR015963', 'InterPro:IPR036393']
5	Q5HGH3	Staphylococcus aureus (strain COL)	['EC 2.7.4.22']	['InterPro:IPR001048', 'InterPro:IPR011817', 'InterPro:IPR015963', 'InterPro:IPR036393']
6	Q6G9V5	Staphylococcus aureus (strain MSSA476)	['EC 2.7.4.22']	['InterPro:IPR001048', 'InterPro:IPR011817', 'InterPro:IPR015963', 'InterPro:IPR036393']
7	Q6GHH7	Staphylococcus aureus (strain MRSA252)	['EC 2.7.4.22']	['InterPro:IPR001048', 'InterPro:IPR011817', 'InterPro:IPR015963', 'InterPro:IPR036393']
8	P65935	Staphylococcus aureus (strain Mu50 / ATCC 700699)	['EC 2.7.4.22']	['InterPro:IPR001048', 'InterPro:IPR011817', 'InterPro:IPR015963', 'InterPro:IPR036393']
9	A7X1N6	Staphylococcus aureus (strain Mu3 / ATCC 700698)	['EC 2.7.4.22']	['InterPro:IPR001048', 'InterPro:IPR011817', 'InterPro:IPR015963', 'InterPro:IPR036393']
0	Q1CT93	Helicobacter pylori (strain HPAG1)	['EC 2.7.4.22']	['InterPro:IPR001048', 'InterPro:IPR011817', 'InterPro:IPR015963', 'InterPro:IPR036393']
1	P56106	Helicobacter pylori (strain ATCC 700392 / 26695) (Campylobacter pylori)	['EC 2.7.4.22']	['InterPro:IPR001048', 'InterPro:IPR011817', 'InterPro:IPR015963', 'InterPro:IPR036393']
2	Q9ZL66	Helicobacter pylori (strain J99 / ATCC 700824) (Campylobacter pylori J99)	['EC 2.7.4.22']	['InterPro:IPR001048', 'InterPro:IPR011817', 'InterPro:IPR015963', 'InterPro:IPR036393']
0	Q97ZE2	Saccharolobus solfataricus (strain ATCC 35092 / DSM 1617 / JCM 11322 / P2) (Sulfolobus solfataricus)	['EC 2.7.4.22']	['InterPro:IPR001048', 'InterPro:IPR011817', 'InterPro:IPR011818', 'InterPro:IPR036393']
0	P29410	Rattus norvegicus (Rat)	['EC 2.7.4.3']	['InterPro:IPR000850', 'InterPro:IPR006259', 'InterPro:IPR007862', 'InterPro:IPR027417', 'InterPro:IPR028587', 'InterPro:IPR033690']
1	P39069	Rattus norvegicus (Rat)	['EC 2.7.4.3', 'EC 2.7.4.6']	['InterPro:IPR000850', 'InterPro:IPR006267', 'InterPro:IPR027417', 'InterPro:IPR028582', 'InterPro:IPR033690']
2	Q68FP8	Rattus norvegicus (Rat)	['EC 2.7.4.3', 'EC 2.7.4.6']	['InterPro:IPR000850', 'InterPro:IPR027417', 'InterPro:IPR036193']
3	Q5EB68	Rattus norvegicus (Rat)	['EC 2.7.4.3']	['InterPro:IPR020618', 'InterPro:IPR027417']
0	Q96M32	Homo sapiens (Human)	['EC 2.7.4.3', 'EC 2.7.4.6']	['InterPro:IPR000850', 'InterPro:IPR007858', 'InterPro:IPR026867', 'InterPro:IPR027417', 'InterPro:IPR036291']
1	Q9Y3D8	Homo sapiens (Human)	['EC 2.7.4.3']	['InterPro:IPR020618', 'InterPro:IPR027417']
2	P54819	Homo sapiens (Human)	['EC 2.7.4.3']	['InterPro:IPR000850', 'InterPro:IPR006259', 'InterPro:IPR007862', 'InterPro:IPR027417', 'InterPro:IPR028587', 'InterPro:IPR033690']
3	P00568	Homo sapiens (Human)	['EC 2.7.4.3', 'EC 2.7.4.6']	['InterPro:IPR000850', 'InterPro:IPR006267', 'InterPro:IPR027417', 'InterPro:IPR028582', 'InterPro:IPR033690']
4	Q96MA6	Homo sapiens (Human)	['EC 2.7.4.3', 'EC 2.7.4.6']	['InterPro:IPR000850', 'InterPro:IPR027417', 'InterPro:IPR036193']
5	Q9Y6K8	Homo sapiens (Human)	['EC 2.7.4.3', 'EC 2.7.4.6']	['InterPro:IPR000850', 'InterPro:IPR006267', 'InterPro:IPR027417', 'InterPro:IPR033690']
0	P00569	Oryctolagus cuniculus (Rabbit)	['EC 2.7.4.3', 'EC 2.7.4.6']	['InterPro:IPR000850', 'InterPro:IPR006267', 'InterPro:IPR027417', 'InterPro:IPR028582', 'InterPro:IPR033690']
1	Q9TTU2	Oryctolagus cuniculus (Rabbit)	['EC 2.7.4.3']	['InterPro:IPR020618', 'InterPro:IPR027417']
0	P61136	Halobacterium salinarum (strain ATCC 700922 / JCM 11081 / NRC-1) (Halobacterium halobium)	['EC 2.7.4.6']	['InterPro:IPR001564', 'InterPro:IPR034907', 'InterPro:IPR036850']
1	B0R502	Halobacterium salinarum (strain ATCC 29341 / DSM 671 / R1)	['EC 2.7.4.6']	['InterPro:IPR001564', 'InterPro:IPR034907', 'InterPro:IPR036850']
0	P35202	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	['EC 2.7.6.2']	['InterPro:IPR007371', 'InterPro:IPR007373', 'InterPro:IPR016966', 'InterPro:IPR036371', 'InterPro:IPR036759']
