Entry	Organism	EC numbers	Interpro_ids	Org
Q9SA18	Arabidopsis thaliana (Mouse-ear cress)	1.1.1.3)]	['InterPro:IPR001048', 'InterPro:IPR001341', 'InterPro:IPR001342', 'InterPro:IPR002912', 'InterPro:IPR005106', 'InterPro:IPR011147', 'InterPro:IPR018042', 'InterPro:IPR019811', 'InterPro:IPR027795', 'InterPro:IPR036291', 'InterPro:IPR036393', 'InterPro:IPR041743', 'InterPro:IPR045865']	Arabidopsis thaliana
O81852	Arabidopsis thaliana (Mouse-ear cress)	2.7.2.4	['InterPro:IPR001048', 'InterPro:IPR001341', 'InterPro:IPR001342', 'InterPro:IPR002912', 'InterPro:IPR005106', 'InterPro:IPR011147', 'InterPro:IPR018042', 'InterPro:IPR019811', 'InterPro:IPR027795', 'InterPro:IPR036291', 'InterPro:IPR036393', 'InterPro:IPR041743', 'InterPro:IPR045865']	Arabidopsis thaliana
O81852	Arabidopsis thaliana (Mouse-ear cress)	1.1.1.3)]	['InterPro:IPR001048', 'InterPro:IPR001341', 'InterPro:IPR001342', 'InterPro:IPR002912', 'InterPro:IPR005106', 'InterPro:IPR011147', 'InterPro:IPR018042', 'InterPro:IPR019811', 'InterPro:IPR027795', 'InterPro:IPR036291', 'InterPro:IPR036393', 'InterPro:IPR041743', 'InterPro:IPR045865']	Arabidopsis thaliana
O23653	Arabidopsis thaliana (Mouse-ear cress)	2.7.2.4	['InterPro:IPR001048', 'InterPro:IPR001341', 'InterPro:IPR002912', 'InterPro:IPR018042', 'InterPro:IPR036393', 'InterPro:IPR042199', 'InterPro:IPR045865']	Arabidopsis thaliana
Q9LYU8	Arabidopsis thaliana (Mouse-ear cress)	2.7.2.4	['InterPro:IPR001048', 'InterPro:IPR001341', 'InterPro:IPR002912', 'InterPro:IPR018042', 'InterPro:IPR036393', 'InterPro:IPR041746', 'InterPro:IPR042199', 'InterPro:IPR045865']	Arabidopsis thaliana
P55229	Arabidopsis thaliana (Mouse-ear cress)	2.7.7.27	['InterPro:IPR005835', 'InterPro:IPR005836', 'InterPro:IPR011004', 'InterPro:IPR011831', 'InterPro:IPR029044']	Arabidopsis thaliana
P55228	Arabidopsis thaliana (Mouse-ear cress)	2.7.7.27	['InterPro:IPR005835', 'InterPro:IPR005836', 'InterPro:IPR011004', 'InterPro:IPR011831', 'InterPro:IPR029044']	Arabidopsis thaliana
P55230	Arabidopsis thaliana (Mouse-ear cress)	2.7.7.27	['InterPro:IPR005835', 'InterPro:IPR005836', 'InterPro:IPR011004', 'InterPro:IPR011831', 'InterPro:IPR029044']	Arabidopsis thaliana
Q9SIK1	Arabidopsis thaliana (Mouse-ear cress)	2.7.7.27	['InterPro:IPR005835', 'InterPro:IPR005836', 'InterPro:IPR011004', 'InterPro:IPR011831', 'InterPro:IPR029044']	Arabidopsis thaliana
P55231	Arabidopsis thaliana (Mouse-ear cress)	2.7.7.27	['InterPro:IPR005835', 'InterPro:IPR005836', 'InterPro:IPR011004', 'InterPro:IPR011831', 'InterPro:IPR029044']	Arabidopsis thaliana
P25851	Arabidopsis thaliana (Mouse-ear cress)	3.1.3.11	['InterPro:IPR000146', 'InterPro:IPR020548', 'InterPro:IPR028343', 'InterPro:IPR033391', 'InterPro:IPR044015']	Arabidopsis thaliana
Q9MA79	Arabidopsis thaliana (Mouse-ear cress)	3.1.3.11	['InterPro:IPR000146', 'InterPro:IPR020548', 'InterPro:IPR028343', 'InterPro:IPR033391', 'InterPro:IPR044015']	Arabidopsis thaliana
Q9YHT1	Gallus gallus (Chicken)	1.3.5.1	['InterPro:IPR003952', 'InterPro:IPR003953', 'InterPro:IPR011281', 'InterPro:IPR014006', 'InterPro:IPR015939', 'InterPro:IPR027477', 'InterPro:IPR030664', 'InterPro:IPR036188', 'InterPro:IPR037099']	Gallus gallus
Q9YHT2	Gallus gallus (Chicken)	1.3.5.1	['InterPro:IPR001041', 'InterPro:IPR004489', 'InterPro:IPR006058', 'InterPro:IPR009051', 'InterPro:IPR012675', 'InterPro:IPR017896', 'InterPro:IPR017900', 'InterPro:IPR025192', 'InterPro:IPR036010']	Gallus gallus
Q5ZMJ4	Gallus gallus (Chicken)	2.7.1.30	['InterPro:IPR000577', 'InterPro:IPR018483', 'InterPro:IPR018484', 'InterPro:IPR018485', 'InterPro:IPR037444', 'InterPro:IPR043129']	Gallus gallus
P00548	Gallus gallus (Chicken)	2.7.1.40	['InterPro:IPR001697', 'InterPro:IPR011037', 'InterPro:IPR015793', 'InterPro:IPR015795', 'InterPro:IPR015806', 'InterPro:IPR015813', 'InterPro:IPR018209', 'InterPro:IPR036918', 'InterPro:IPR040442']	Gallus gallus
P08065	Bacillus subtilis (strain 168)	1.3.5.1	['InterPro:IPR003952', 'InterPro:IPR003953', 'InterPro:IPR011280', 'InterPro:IPR015939', 'InterPro:IPR027477', 'InterPro:IPR030664', 'InterPro:IPR036188', 'InterPro:IPR037099']	Bacillus subtilis
P08066	Bacillus subtilis (strain 168)	1.3.5.1	['InterPro:IPR004489', 'InterPro:IPR009051', 'InterPro:IPR012675', 'InterPro:IPR017896', 'InterPro:IPR017900', 'InterPro:IPR025192', 'InterPro:IPR036010']	Bacillus subtilis
P37251	Bacillus subtilis (strain 168)	2.2.1.6	['InterPro:IPR011766', 'InterPro:IPR012000', 'InterPro:IPR012001', 'InterPro:IPR012846', 'InterPro:IPR029035', 'InterPro:IPR029061', 'InterPro:IPR039368', 'InterPro:IPR045229']	Bacillus subtilis
Q04789	Bacillus subtilis (strain 168)	2.2.1.6	['InterPro:IPR000399', 'InterPro:IPR011766', 'InterPro:IPR012000', 'InterPro:IPR012001', 'InterPro:IPR012782', 'InterPro:IPR029035', 'InterPro:IPR029061', 'InterPro:IPR045229']	Bacillus subtilis
P37252	Bacillus subtilis (strain 168)	2.2.1.6	['InterPro:IPR002912', 'InterPro:IPR004789', 'InterPro:IPR019455', 'InterPro:IPR027271', 'InterPro:IPR039557', 'InterPro:IPR045865']	Bacillus subtilis
O34529	Bacillus subtilis (strain 168)	2.7.1.11	['InterPro:IPR000023', 'InterPro:IPR012003', 'InterPro:IPR012828', 'InterPro:IPR015912', 'InterPro:IPR022953', 'InterPro:IPR035966']	Bacillus subtilis
A7Z7K6	Bacillus velezensis (strain DSM 23117 / BGSC 10A6 / LMG 26770 / FZB42) (Bacillus amyloliquefaciens subsp. plantarum)	2.7.1.11	['InterPro:IPR000023', 'InterPro:IPR012003', 'InterPro:IPR012828', 'InterPro:IPR015912', 'InterPro:IPR022953', 'InterPro:IPR035966']	Bacillus velezensis
Q9K843	Halalkalibacterium halodurans (strain ATCC BAA-125 / DSM 18197 / FERM 7344 / JCM 9153 / C-125) (Bacillus halodurans)	2.7.1.11	['InterPro:IPR000023', 'InterPro:IPR012003', 'InterPro:IPR012828', 'InterPro:IPR015912', 'InterPro:IPR022953', 'InterPro:IPR035966']	Halalkalibacterium halodurans
Q65G82	Bacillus licheniformis (strain ATCC 14580 / DSM 13 / JCM 2505 / CCUG 7422 / NBRC 12200 / NCIMB 9375 / NCTC 10341 / NRRL NRS-1264 / Gibson 46)	2.7.1.11	['InterPro:IPR000023', 'InterPro:IPR012003', 'InterPro:IPR012828', 'InterPro:IPR015912', 'InterPro:IPR022953', 'InterPro:IPR035966']	Bacillus licheniformis
P18157	Bacillus subtilis (strain 168)	2.7.1.30	['InterPro:IPR000577', 'InterPro:IPR005999', 'InterPro:IPR018483', 'InterPro:IPR018484', 'InterPro:IPR018485', 'InterPro:IPR043129']	Bacillus subtilis
P32189	Homo sapiens (Human)	2.7.1.30	['InterPro:IPR000577', 'InterPro:IPR005999', 'InterPro:IPR018483', 'InterPro:IPR018484', 'InterPro:IPR018485', 'InterPro:IPR042018', 'InterPro:IPR043129']	Homo sapiens
A7Z2U3	Bacillus velezensis (strain DSM 23117 / BGSC 10A6 / LMG 26770 / FZB42) (Bacillus amyloliquefaciens subsp. plantarum)	2.7.1.30	['InterPro:IPR000577', 'InterPro:IPR005999', 'InterPro:IPR018483', 'InterPro:IPR018484', 'InterPro:IPR018485', 'InterPro:IPR043129']	Bacillus velezensis
Q9KDW8	Halalkalibacterium halodurans (strain ATCC BAA-125 / DSM 18197 / FERM 7344 / JCM 9153 / C-125) (Bacillus halodurans)	2.7.1.30	['InterPro:IPR000577', 'InterPro:IPR005999', 'InterPro:IPR018483', 'InterPro:IPR018484', 'InterPro:IPR018485', 'InterPro:IPR043129']	Halalkalibacterium halodurans
Q65M11	Bacillus licheniformis (strain ATCC 14580 / DSM 13 / JCM 2505 / CCUG 7422 / NBRC 12200 / NCIMB 9375 / NCTC 10341 / NRRL NRS-1264 / Gibson 46)	2.7.1.30	['InterPro:IPR000577', 'InterPro:IPR005999', 'InterPro:IPR018483', 'InterPro:IPR018484', 'InterPro:IPR018485', 'InterPro:IPR043129']	Bacillus licheniformis
P80885	Bacillus subtilis (strain 168)	2.7.1.40	['InterPro:IPR001697', 'InterPro:IPR008279', 'InterPro:IPR011037', 'InterPro:IPR015793', 'InterPro:IPR015795', 'InterPro:IPR015806', 'InterPro:IPR015813', 'InterPro:IPR018209', 'InterPro:IPR036637', 'InterPro:IPR036918', 'InterPro:IPR040442']	Bacillus subtilis
P51181	Bacillus licheniformis	2.7.1.40	['InterPro:IPR001697', 'InterPro:IPR008279', 'InterPro:IPR011037', 'InterPro:IPR015793', 'InterPro:IPR015795', 'InterPro:IPR015806', 'InterPro:IPR015813', 'InterPro:IPR018209', 'InterPro:IPR036637', 'InterPro:IPR036918', 'InterPro:IPR040442']	Bacillus licheniformis
Q04795	Bacillus subtilis (strain 168)	2.7.2.4	['InterPro:IPR001048', 'InterPro:IPR001341', 'InterPro:IPR002912', 'InterPro:IPR005260', 'InterPro:IPR018042', 'InterPro:IPR027795', 'InterPro:IPR036393', 'InterPro:IPR045865']	Bacillus subtilis
P08495	Bacillus subtilis (strain 168)	2.7.2.4	['InterPro:IPR001048', 'InterPro:IPR001341', 'InterPro:IPR002912', 'InterPro:IPR005260', 'InterPro:IPR018042', 'InterPro:IPR027795', 'InterPro:IPR036393', 'InterPro:IPR041740', 'InterPro:IPR045865']	Bacillus subtilis
P94417	Bacillus subtilis (strain 168)	2.7.2.4	['InterPro:IPR001048', 'InterPro:IPR001341', 'InterPro:IPR002912', 'InterPro:IPR005260', 'InterPro:IPR018042', 'InterPro:IPR027795', 'InterPro:IPR035804', 'InterPro:IPR036393', 'InterPro:IPR042199', 'InterPro:IPR045865']	Bacillus subtilis
P39122	Bacillus subtilis (strain 168)	2.7.7.27	['InterPro:IPR005835', 'InterPro:IPR005836', 'InterPro:IPR011004', 'InterPro:IPR011831', 'InterPro:IPR023049', 'InterPro:IPR029044']	Bacillus subtilis
Q9KDX4	Halalkalibacterium halodurans (strain ATCC BAA-125 / DSM 18197 / FERM 7344 / JCM 9153 / C-125) (Bacillus halodurans)	2.7.7.27	['InterPro:IPR005835', 'InterPro:IPR005836', 'InterPro:IPR011004', 'InterPro:IPR011831', 'InterPro:IPR023049', 'InterPro:IPR029044']	Halalkalibacterium halodurans
Q65FS5	Bacillus licheniformis (strain ATCC 14580 / DSM 13 / JCM 2505 / CCUG 7422 / NBRC 12200 / NCIMB 9375 / NCTC 10341 / NRRL NRS-1264 / Gibson 46)	2.7.7.27	['InterPro:IPR005835', 'InterPro:IPR005836', 'InterPro:IPR011004', 'InterPro:IPR011831', 'InterPro:IPR023049', 'InterPro:IPR029044']	Bacillus licheniformis
Q03224	Bacillus subtilis (strain 168)	3.1.3.11	['InterPro:IPR004464']	Bacillus subtilis
Q45597	Bacillus subtilis (strain 168)	3.1.3.11	['InterPro:IPR009164', 'InterPro:IPR029052']	Bacillus subtilis
A7ZAK3	Bacillus velezensis (strain DSM 23117 / BGSC 10A6 / LMG 26770 / FZB42) (Bacillus amyloliquefaciens subsp. plantarum)	3.1.3.11	['InterPro:IPR009164', 'InterPro:IPR029052']	Bacillus velezensis
Q9KWU4	Bacillus subtilis (strain 168)	6.4.1.1	['InterPro:IPR000089', 'InterPro:IPR000891', 'InterPro:IPR003379', 'InterPro:IPR005479', 'InterPro:IPR005481', 'InterPro:IPR005482', 'InterPro:IPR005930', 'InterPro:IPR011053', 'InterPro:IPR011054', 'InterPro:IPR011761', 'InterPro:IPR011764', 'InterPro:IPR013785', 'InterPro:IPR016185']	Bacillus subtilis
Q41768	Zea mays (Maize)	2.2.1.6	['InterPro:IPR011766', 'InterPro:IPR012000', 'InterPro:IPR012001', 'InterPro:IPR012846', 'InterPro:IPR029035', 'InterPro:IPR029061', 'InterPro:IPR039368', 'InterPro:IPR045229']	Zea mays
Q41769	Zea mays (Maize)	2.2.1.6	['InterPro:IPR011766', 'InterPro:IPR012000', 'InterPro:IPR012001', 'InterPro:IPR012846', 'InterPro:IPR029035', 'InterPro:IPR029061', 'InterPro:IPR039368', 'InterPro:IPR045229']	Zea mays
P49079	Zea mays (Maize)	2.7.2.4); Homoserine dehydrogenase	['InterPro:IPR001048', 'InterPro:IPR001341', 'InterPro:IPR001342', 'InterPro:IPR002912', 'InterPro:IPR005106', 'InterPro:IPR011147', 'InterPro:IPR018042', 'InterPro:IPR019811', 'InterPro:IPR027795', 'InterPro:IPR036291', 'InterPro:IPR036393', 'InterPro:IPR041743', 'InterPro:IPR045865']	Zea mays
P49079	Zea mays (Maize)	1.1.1.3)]	['InterPro:IPR001048', 'InterPro:IPR001341', 'InterPro:IPR001342', 'InterPro:IPR002912', 'InterPro:IPR005106', 'InterPro:IPR011147', 'InterPro:IPR018042', 'InterPro:IPR019811', 'InterPro:IPR027795', 'InterPro:IPR036291', 'InterPro:IPR036393', 'InterPro:IPR041743', 'InterPro:IPR045865']	Zea mays
P49080	Zea mays (Maize)	2.7.2.4); Homoserine dehydrogenase	['InterPro:IPR001048', 'InterPro:IPR001341', 'InterPro:IPR001342', 'InterPro:IPR002912', 'InterPro:IPR005106', 'InterPro:IPR011147', 'InterPro:IPR018042', 'InterPro:IPR019811', 'InterPro:IPR036291', 'InterPro:IPR036393', 'InterPro:IPR041743', 'InterPro:IPR045865']	Zea mays
P49080	Zea mays (Maize)	1.1.1.3)]	['InterPro:IPR001048', 'InterPro:IPR001341', 'InterPro:IPR001342', 'InterPro:IPR002912', 'InterPro:IPR005106', 'InterPro:IPR011147', 'InterPro:IPR018042', 'InterPro:IPR019811', 'InterPro:IPR036291', 'InterPro:IPR036393', 'InterPro:IPR041743', 'InterPro:IPR045865']	Zea mays
P55241	Zea mays (Maize)	2.7.7.27	['InterPro:IPR005835', 'InterPro:IPR005836', 'InterPro:IPR011004', 'InterPro:IPR011831', 'InterPro:IPR029044']	Zea mays
P55240	Zea mays (Maize)	2.7.7.27	['InterPro:IPR011004', 'InterPro:IPR011831']	Zea mays
P55234	Zea mays (Maize)	2.7.7.27	['InterPro:IPR005835', 'InterPro:IPR005836', 'InterPro:IPR011004', 'InterPro:IPR011831', 'InterPro:IPR029044']	Zea mays
Q9SEK3	Spinacia oleracea (Spinach)	2.7.1.1	['InterPro:IPR001312', 'InterPro:IPR022672', 'InterPro:IPR022673', 'InterPro:IPR043129']	Spinacia oleracea
P55235	Spinacia oleracea (Spinach)	2.7.7.27	[]	Spinacia oleracea
P55236	Spinacia oleracea (Spinach)	2.7.7.27	[]	Spinacia oleracea
P22418	Spinacia oleracea (Spinach)	3.1.3.11	['InterPro:IPR000146', 'InterPro:IPR020548', 'InterPro:IPR028343', 'InterPro:IPR033391', 'InterPro:IPR044015']	Spinacia oleracea
P14766	Spinacia oleracea (Spinach)	3.1.3.11	['InterPro:IPR000146', 'InterPro:IPR020548', 'InterPro:IPR028343', 'InterPro:IPR033391', 'InterPro:IPR044015']	Spinacia oleracea
P9WN89	Mycobacterium tuberculosis (strain ATCC 25618 / H37Rv)	1.3.5.1	['InterPro:IPR004489', 'InterPro:IPR009051', 'InterPro:IPR012675', 'InterPro:IPR017896', 'InterPro:IPR017900', 'InterPro:IPR025192', 'InterPro:IPR036010']	Mycobacterium tuberculosis
P9WN90	Mycobacterium tuberculosis (strain CDC 1551 / Oshkosh)	1.3.5.1	['InterPro:IPR003952', 'InterPro:IPR003953', 'InterPro:IPR005884', 'InterPro:IPR011280', 'InterPro:IPR014006', 'InterPro:IPR015939', 'InterPro:IPR027477', 'InterPro:IPR030664', 'InterPro:IPR036188', 'InterPro:IPR037099']	Mycobacterium tuberculosis
P9WN88	Mycobacterium tuberculosis (strain CDC 1551 / Oshkosh)	1.3.5.1	['InterPro:IPR004489', 'InterPro:IPR009051', 'InterPro:IPR012675', 'InterPro:IPR017896', 'InterPro:IPR017900', 'InterPro:IPR025192', 'InterPro:IPR036010']	Mycobacterium tuberculosis
P9WN91	Mycobacterium tuberculosis (strain ATCC 25618 / H37Rv)	1.3.5.1	['InterPro:IPR003952', 'InterPro:IPR003953', 'InterPro:IPR005884', 'InterPro:IPR011280', 'InterPro:IPR014006', 'InterPro:IPR015939', 'InterPro:IPR027477', 'InterPro:IPR030664', 'InterPro:IPR036188', 'InterPro:IPR037099']	Mycobacterium tuberculosis
P64175	Mycobacterium bovis (strain ATCC BAA-935 / AF2122/97)	1.3.5.1	['InterPro:IPR003952', 'InterPro:IPR003953', 'InterPro:IPR005884', 'InterPro:IPR011280', 'InterPro:IPR014006', 'InterPro:IPR015939', 'InterPro:IPR027477', 'InterPro:IPR030664', 'InterPro:IPR036188', 'InterPro:IPR037099']	Mycobacterium bovis
P9WG41	Mycobacterium tuberculosis (strain ATCC 25618 / H37Rv)	2.2.1.6	['InterPro:IPR000399', 'InterPro:IPR011766', 'InterPro:IPR012000', 'InterPro:IPR012001', 'InterPro:IPR012846', 'InterPro:IPR029035', 'InterPro:IPR029061', 'InterPro:IPR039368', 'InterPro:IPR045229']	Mycobacterium tuberculosis
P9WG39	Mycobacterium tuberculosis (strain ATCC 25618 / H37Rv)	2.2.1.6	['InterPro:IPR000399', 'InterPro:IPR011766', 'InterPro:IPR012000', 'InterPro:IPR012001', 'InterPro:IPR029035', 'InterPro:IPR029061', 'InterPro:IPR045229']	Mycobacterium tuberculosis
P9WKJ3	Mycobacterium tuberculosis (strain ATCC 25618 / H37Rv)	2.2.1.6	['InterPro:IPR002912', 'InterPro:IPR004789', 'InterPro:IPR019455', 'InterPro:IPR027271', 'InterPro:IPR039557', 'InterPro:IPR045865']	Mycobacterium tuberculosis
O53554	Mycobacterium tuberculosis (strain ATCC 25618 / H37Rv)	2.2.1.6	['InterPro:IPR011766', 'InterPro:IPR012001', 'InterPro:IPR029061', 'InterPro:IPR045229']	Mycobacterium tuberculosis
P9WG40	Mycobacterium tuberculosis (strain CDC 1551 / Oshkosh)	2.2.1.6	['InterPro:IPR000399', 'InterPro:IPR011766', 'InterPro:IPR012000', 'InterPro:IPR012001', 'InterPro:IPR012846', 'InterPro:IPR029035', 'InterPro:IPR029061', 'InterPro:IPR039368', 'InterPro:IPR045229']	Mycobacterium tuberculosis
P9WKJ2	Mycobacterium tuberculosis (strain CDC 1551 / Oshkosh)	2.2.1.6	['InterPro:IPR002912', 'InterPro:IPR004789', 'InterPro:IPR019455', 'InterPro:IPR027271', 'InterPro:IPR039557', 'InterPro:IPR045865']	Mycobacterium tuberculosis
P9WG38	Mycobacterium tuberculosis (strain CDC 1551 / Oshkosh)	2.2.1.6	['InterPro:IPR000399', 'InterPro:IPR011766', 'InterPro:IPR012000', 'InterPro:IPR012001', 'InterPro:IPR029035', 'InterPro:IPR029061', 'InterPro:IPR045229']	Mycobacterium tuberculosis
O06335	Mycobacterium tuberculosis (strain ATCC 25618 / H37Rv)	2.2.1.6	['InterPro:IPR000399', 'InterPro:IPR011766', 'InterPro:IPR012000', 'InterPro:IPR012001', 'InterPro:IPR029035', 'InterPro:IPR029061', 'InterPro:IPR045229']	Mycobacterium tuberculosis
P66947	Mycobacterium bovis (strain ATCC BAA-935 / AF2122/97)	2.2.1.6	['InterPro:IPR000399', 'InterPro:IPR011766', 'InterPro:IPR012000', 'InterPro:IPR012001', 'InterPro:IPR029035', 'InterPro:IPR029061', 'InterPro:IPR045229']	Mycobacterium bovis
P65162	Mycobacterium bovis (strain ATCC BAA-935 / AF2122/97)	2.2.1.6	['InterPro:IPR002912', 'InterPro:IPR004789', 'InterPro:IPR019455', 'InterPro:IPR027271', 'InterPro:IPR039557', 'InterPro:IPR045865']	Mycobacterium bovis
P9WID3	Mycobacterium tuberculosis (strain ATCC 25618 / H37Rv)	2.7.1.11	['InterPro:IPR002173', 'InterPro:IPR011611', 'InterPro:IPR017583', 'InterPro:IPR029056']	Mycobacterium tuberculosis
P9WID3	Mycobacterium tuberculosis (strain ATCC 25618 / H37Rv)	2.7.1.144	['InterPro:IPR002173', 'InterPro:IPR011611', 'InterPro:IPR017583', 'InterPro:IPR029056']	Mycobacterium tuberculosis
P9WID7	Mycobacterium tuberculosis (strain ATCC 25618 / H37Rv)	2.7.1.11	['InterPro:IPR000023', 'InterPro:IPR012003', 'InterPro:IPR012829', 'InterPro:IPR015912', 'InterPro:IPR022953', 'InterPro:IPR035966']	Mycobacterium tuberculosis
P9WID7	Mycobacterium tuberculosis (strain ATCC 25618 / H37Rv)	2.7.1.144	['InterPro:IPR000023', 'InterPro:IPR012003', 'InterPro:IPR012829', 'InterPro:IPR015912', 'InterPro:IPR022953', 'InterPro:IPR035966']	Mycobacterium tuberculosis
P9WID6	Mycobacterium tuberculosis (strain CDC 1551 / Oshkosh)	2.7.1.11	['InterPro:IPR000023', 'InterPro:IPR012003', 'InterPro:IPR012829', 'InterPro:IPR015912', 'InterPro:IPR022953', 'InterPro:IPR035966']	Mycobacterium tuberculosis
P9WID6	Mycobacterium tuberculosis (strain CDC 1551 / Oshkosh)	2.7.1.144	['InterPro:IPR000023', 'InterPro:IPR012003', 'InterPro:IPR012829', 'InterPro:IPR015912', 'InterPro:IPR022953', 'InterPro:IPR035966']	Mycobacterium tuberculosis
P9WID2	Mycobacterium tuberculosis (strain CDC 1551 / Oshkosh)	2.7.1.11	['InterPro:IPR002173', 'InterPro:IPR011611', 'InterPro:IPR017583', 'InterPro:IPR029056']	Mycobacterium tuberculosis
P9WID2	Mycobacterium tuberculosis (strain CDC 1551 / Oshkosh)	2.7.1.144	['InterPro:IPR002173', 'InterPro:IPR011611', 'InterPro:IPR017583', 'InterPro:IPR029056']	Mycobacterium tuberculosis
P65691	Mycobacterium bovis (strain ATCC BAA-935 / AF2122/97)	2.7.1.11	['InterPro:IPR000023', 'InterPro:IPR012003', 'InterPro:IPR012829', 'InterPro:IPR015912', 'InterPro:IPR022953', 'InterPro:IPR035966']	Mycobacterium bovis
P9WPK1	Mycobacterium tuberculosis (strain ATCC 25618 / H37Rv)	2.7.1.30	['InterPro:IPR000577', 'InterPro:IPR005999', 'InterPro:IPR018483', 'InterPro:IPR018484', 'InterPro:IPR018485', 'InterPro:IPR043129']	Mycobacterium tuberculosis
A5U920	Mycobacterium tuberculosis (strain ATCC 25177 / H37Ra)	2.7.1.30	['InterPro:IPR000577', 'InterPro:IPR005999', 'InterPro:IPR018483', 'InterPro:IPR018484', 'InterPro:IPR018485', 'InterPro:IPR043129']	Mycobacterium tuberculosis
P9WPK0	Mycobacterium tuberculosis (strain CDC 1551 / Oshkosh)	2.7.1.30	['InterPro:IPR000577', 'InterPro:IPR005999', 'InterPro:IPR018483', 'InterPro:IPR018484', 'InterPro:IPR018485', 'InterPro:IPR043129']	Mycobacterium tuberculosis
P9WKE5	Mycobacterium tuberculosis (strain ATCC 25618 / H37Rv)	2.7.1.40	['InterPro:IPR001697', 'InterPro:IPR011037', 'InterPro:IPR015793', 'InterPro:IPR015795', 'InterPro:IPR015806', 'InterPro:IPR015813', 'InterPro:IPR018209', 'InterPro:IPR036918', 'InterPro:IPR040442']	Mycobacterium tuberculosis
P9WKE4	Mycobacterium tuberculosis (strain CDC 1551 / Oshkosh)	2.7.1.40	['InterPro:IPR001697', 'InterPro:IPR011037', 'InterPro:IPR015793', 'InterPro:IPR015795', 'InterPro:IPR015806', 'InterPro:IPR015813', 'InterPro:IPR018209', 'InterPro:IPR036918', 'InterPro:IPR040442']	Mycobacterium tuberculosis
P9WPX3	Mycobacterium tuberculosis (strain ATCC 25618 / H37Rv)	2.7.2.4	['InterPro:IPR001048', 'InterPro:IPR001341', 'InterPro:IPR002912', 'InterPro:IPR005260', 'InterPro:IPR018042', 'InterPro:IPR027795', 'InterPro:IPR036393', 'InterPro:IPR041740', 'InterPro:IPR045865']	Mycobacterium tuberculosis
P0A4Z9	Mycobacterium bovis (strain ATCC BAA-935 / AF2122/97)	2.7.2.4	['InterPro:IPR001048', 'InterPro:IPR001341', 'InterPro:IPR002912', 'InterPro:IPR005260', 'InterPro:IPR018042', 'InterPro:IPR027795', 'InterPro:IPR036393', 'InterPro:IPR041740', 'InterPro:IPR045865']	Mycobacterium bovis
P9WPX2	Mycobacterium tuberculosis (strain CDC 1551 / Oshkosh)	2.7.2.4	['InterPro:IPR001048', 'InterPro:IPR001341', 'InterPro:IPR002912', 'InterPro:IPR005260', 'InterPro:IPR018042', 'InterPro:IPR027795', 'InterPro:IPR036393', 'InterPro:IPR041740', 'InterPro:IPR045865']	Mycobacterium tuberculosis
P9WN43	Mycobacterium tuberculosis (strain ATCC 25618 / H37Rv)	2.7.7.27	['InterPro:IPR005835', 'InterPro:IPR005836', 'InterPro:IPR011004', 'InterPro:IPR011831', 'InterPro:IPR023049', 'InterPro:IPR029044']	Mycobacterium tuberculosis
P9WN42	Mycobacterium tuberculosis (strain CDC 1551 / Oshkosh)	2.7.7.27	['InterPro:IPR005835', 'InterPro:IPR005836', 'InterPro:IPR011004', 'InterPro:IPR011831', 'InterPro:IPR023049', 'InterPro:IPR029044']	Mycobacterium tuberculosis
A5U1R1	Mycobacterium tuberculosis (strain ATCC 25177 / H37Ra)	2.7.7.27	['InterPro:IPR005835', 'InterPro:IPR005836', 'InterPro:IPR011004', 'InterPro:IPR011831', 'InterPro:IPR023049', 'InterPro:IPR029044']	Mycobacterium tuberculosis
A1KI01	Mycobacterium bovis (strain BCG / Pasteur 1173P2)	2.7.7.27	['InterPro:IPR005835', 'InterPro:IPR005836', 'InterPro:IPR011004', 'InterPro:IPR011831', 'InterPro:IPR023049', 'InterPro:IPR029044']	Mycobacterium bovis
C1AMK7	Mycobacterium bovis (strain BCG / Tokyo 172 / ATCC 35737 / TMC 1019)	2.7.7.27	['InterPro:IPR005835', 'InterPro:IPR005836', 'InterPro:IPR011004', 'InterPro:IPR011831', 'InterPro:IPR023049', 'InterPro:IPR029044']	Mycobacterium bovis
P64242	Mycobacterium bovis (strain ATCC BAA-935 / AF2122/97)	2.7.7.27	['InterPro:IPR005835', 'InterPro:IPR005836', 'InterPro:IPR011004', 'InterPro:IPR011831', 'InterPro:IPR023049', 'InterPro:IPR029044']	Mycobacterium bovis
B2HS55	Mycobacterium marinum (strain ATCC BAA-535 / M)	2.7.7.27	['InterPro:IPR005835', 'InterPro:IPR005836', 'InterPro:IPR011004', 'InterPro:IPR011831', 'InterPro:IPR023049', 'InterPro:IPR029044']	Mycobacterium marinum
A0R2E1	Mycolicibacterium smegmatis (strain ATCC 700084 / mc(2)155) (Mycobacterium smegmatis)	2.7.7.27	['InterPro:IPR005835', 'InterPro:IPR005836', 'InterPro:IPR011004', 'InterPro:IPR011831', 'InterPro:IPR023049', 'InterPro:IPR029044']	Mycolicibacterium smegmatis
P9WN21	Mycobacterium tuberculosis (strain ATCC 25618 / H37Rv)	3.1.3.11	['InterPro:IPR004464']	Mycobacterium tuberculosis
P9WKJ1	Mycobacterium tuberculosis (strain ATCC 25618 / H37Rv)	3.1.3.7	['InterPro:IPR000760', 'InterPro:IPR020583']	Mycobacterium tuberculosis
